siteId,daily_average_flow,weekly_average_flow,monthly_average_flow,daily_Before_COVID,daily_1st_Lockdown,daily_2nd_Lockdown,daily_Post_COVID
GA1851_E,1019.0098159509203,6978.9327731092435,28637.689655172413,1619.855072463768,559.3384615384615,803.4,915.5588235294117
GA1851_F,268.8760736196319,1841.4621848739496,7556.3448275862065,362.536231884058,145.30769230769232,197.52307692307693,231.5441176470588
GA2351_T,1581.6159509202455,10832.0756302521,44448.862068965514,2357.449275362319,677.5538461538462,963.8153846153846,1905.7058823529412
GA2401_B,931.19754601227,6377.529411764706,26169.862068965518,1175.5072463768115,575.0153846153846,594.0153846153846,1033.8088235294117
GA2401_D,1228.6245398773005,8414.529411764706,34528.58620689655,1777.5652173913043,661.3230769230769,820.2923076923076,1545.1029411764705
GA2421_W,1604.4895705521471,10988.731092436974,45091.68965517241,2138.2753623188405,1320.8307692307692,836.2,2005.8235294117646
GA3221_B,787.5030674846626,5393.403361344538,22131.55172413793,941.9710144927536,783.7076923076924,575.0153846153846,882.3088235294117
GA3221_D,1075.638036809816,7366.764705882353,30229.137931034482,1367.9565217391305,1121.676923076923,764.723076923077,1156.3529411764705
GA4401_M,1732.7914110429447,11867.436974789916,48697.41379310345,1710.463768115942,1365.0461538461539,1799.2307692307693,2288.0882352941176
GA4401_N,1324.0184049079755,9067.857142857143,37209.48275862069,1972.0289855072465,832.7384615384616,999.9076923076923,1509.5735294117646
GA4401_Y,530.9644171779141,3636.436974789916,14921.931034482759,789.231884057971,280.33846153846156,374.0,581.6764705882352
GA4451_A,1626.1177914110428,11136.857142857143,45699.51724137931,1711.2753623188405,1373.9384615384615,1478.3692307692309,1687.1323529411766
GA4451_C,935.4122699386503,6406.394957983193,26288.310344827587,1264.7826086956522,853.8923076923077,535.5076923076923,1163.8529411764705
GA4451_D,1178.676073619632,8072.44537815126,33124.862068965514,2697.391304347826,985.0153846153846,613.9692307692308,1154.3676470588234
GA4501_S,394.8674846625767,2704.344537815126,11097.137931034482,400.07246376811594,310.2307692307692,290.81538461538463,528.2941176470588
