POI_num_300,Public Infrastructure_300,Commercial Services_300,Education and Health_300,Transport_300,Retail_300,Sport and Entertainment_300,"Accommodation, Eating and Drinking_300",Manufacturing and Production_300,Attractions_300,POI_mix_300,"Industrial, commercial, public, military and private units_300",Roads and railways_300,Urban residential areas_300,Green urban areas (including Sports and leisure facilities)_300,"Natural areas (Arable land, forests, herbaceous vegetation associations, pastures and water)_300","Other (Construction sites, land without current use, mineral extraction and dump sites and port areas)_300",landuse_mix_300,mean_age_300,median_age_300,population_density(persons/sq.km)_300,employment_density(persons/sq.km)_300,male_percent_300,white_percent_300,collegeDegree_percent_300,bicycle_percent(commute)_300,walk_percent(commute)_300,car_percent(commute)_300,motorway(km/sq.km)_300,majorRoad(km/sq.km)_300,secondaryRoad(km/sq.km)_300,localRoad(km/sq.km)_300,road,building,vegetation,car
944,-2.706991439753968,-0.459885499080151,-2.691243082785829,-3.6312503412773,-3.266607227689391,-3.759083712787185,-2.167994939021281,-3.759083712787185,-4.770684624465665,-0.49610811269464083,-1.5155276319461792,-1.6060923565569978,-0.5862314999475144,-3.7628563932741756,0.0,0.0,-0.2600985735324732,30.20309117727204,25.25469288670989,1236.9451256128045,582.24259461796,-0.6607460367475918,-0.28160602580573846,-0.6565915547870349,-4.8513152557306665,-0.6597342038289978,-2.2218423072346654,0.2436543568991545,0.0,8.230861630678156,23.991155883436697,-1.2825570554296986,-0.6650298181965615,-7.20048581097976,-3.1221991954498924
641,-2.5712091588100434,-0.471564909812688,-2.678839823002409,-3.6298161128644537,-3.2049329188991877,-3.6904407346808887,-2.2435217517445634,-3.6298161128644537,-5.076735095800779,-0.480422179735124,-1.3745793493020377,-1.6827665053970995,-0.6199382956359777,-3.7628563932741756,0.0,0.0,-0.248444196264032,30.56242832502536,26.22916812360227,3085.8698676736503,1263.6607791571932,-0.4932925569902803,-0.3006895200176472,-0.9848948298011744,-5.680099851205926,-1.0475820597374967,-2.407163535748644,0.9994037962239856,0.8536757192612403,6.777372399877032,22.27260596112564,-1.3641744301476895,-0.5744733606275512,-7.897040149861319,-3.6392754716130336
700,-2.6798793241355137,-0.5696661237889241,-2.700932733333346,-3.2929837970219227,-2.9134941753170187,-3.415586119114255,-1.9867321435755685,-3.7178669909871886,-4.353855757707185,-0.3825212649062576,-1.2653255872251485,-1.5112758659986236,-0.7004612418010935,-7.0493350799045045,0.0,0.0,-0.283349066423596,30.32046011021343,26.215448100633267,3124.320029074205,1337.2209198063345,-0.5002201861177299,-0.3016574718986501,-0.9066160481988241,-5.531754273556503,-0.9659228959224145,-2.401746595390337,0.4548642839908497,1.145277637103289,8.061748271599727,19.102061155538188,-1.175408869644341,-0.5451352045246353,-9.002501780375004,-4.9128071877817625
904,-2.7637780925576263,-0.6083506438998685,-2.729291916486457,-3.4395335304057024,-2.489341246855866,-3.34109345759245,-1.9316320371910252,-3.862390381225736,-4.504244267398131,-0.3622267822547824,-1.3583067970730107,-1.363050029508318,-0.7194395489678937,0.0,0.0,0.0,-0.046805442012368664,30.07338307737946,25.575605756055328,2099.278078523836,1039.344789190232,-0.6059436962300581,-0.28474937233684716,-0.6956124055440801,-5.114889006366857,-0.6825920988578444,-2.2597570281018515,0.04457005782973219,0.4642040389560277,9.23245130188606,17.600145295849433,-1.132568193756785,-0.6291099157869364,-6.737736320649544,-5.101258315478747
768,-2.793642131437614,-0.5592903200725008,-2.6548056865833978,-3.347952867143343,-2.8596000992294113,-3.347952867143343,-1.9993988340062996,-3.810576389091456,-4.446565155811453,-0.3926071062429755,-1.32795639390175,-1.479860746951817,-0.6838160074958235,-5.942716773552696,0.0,0.0,-0.2782593732838726,30.288072206184697,26.006856586398396,2823.355624010156,1227.4594086918278,-0.5127402485872411,-0.30561433151896195,-0.8783167062481156,-5.451337672845459,-0.9221807553780265,-2.413778734511553,0.35793508572541544,0.9667923879160816,8.248666947477014,19.60074955542961,-1.1823520098083837,-0.7031210151818525,-8.130475387212076,-2.8441913383943858
636,-2.6050509616300634,-0.6174681161741822,-2.717528945056754,-3.2771447329921766,-2.7416264966358144,-3.4106761256166993,-1.9119037810701185,-3.6826098411003407,-4.375757021660286,-0.3500623314277634,-1.130039208758917,-1.4578377361039812,-0.8113893165390598,0.0,0.0,0.0,-0.031285685993987844,30.035579832283144,26.319934589658533,3472.263471514244,1519.707467623776,-0.5006547512969788,-0.30344729917179697,-0.8800603487610515,-5.579918527178107,-0.9486311358299405,-2.3697057481524384,0.31635488647202786,1.4154289824600284,7.737222620641866,17.179941784437197,-1.248909206375784,-0.7793282271964738,-3.472745467729771,-2.743728827411992
1232,-2.785660803807134,-0.5178851154789496,-2.7596853174038736,-3.5900336194773037,-2.9732594177019323,-3.749098314106991,-1.9346105938013798,-3.6506582412937383,-5.0369526024136295,-0.4496385622522298,-1.5893769691472313,-1.4995225598050996,-0.5960649714202532,-3.828825974717857,0.0,0.0,-0.25831944550950453,30.31732260233685,25.259946319706536,1372.3401632447776,647.9889967902652,-0.6704445774348466,-0.26601738382753376,-0.653448403564092,-4.645105856613784,-0.6575559335848394,-2.2709145158473087,0.0,0.0,9.135461169088067,22.463952336238695,-1.251731732614389,-0.6032264275150858,-5.810795860858732,-4.851867833967177
919,-2.6961517373105957,-0.4882318708576281,-2.745748678449967,-3.5274492563513578,-3.0856165040723185,-3.687791906426537,-2.078353993992437,-3.9329143644595224,-4.626061545019468,-0.4671658534446745,-1.5775524423737373,-1.554444774155904,-0.5816126004943873,-3.762858347841377,0.0,0.0,-0.26208330777754846,30.161997682127627,25.42705276472801,1889.5133408965166,897.94159846886,-0.6220695151498079,-0.2878517591809881,-0.724082360017004,-5.07245299472259,-0.6951449056792809,-2.300879577671603,0.29699736611215544,0.0,7.665728910306518,23.397320469353534,-1.2535882155132292,-0.6418008397398755,-4.075322802923934,-2.4219770382970207
846,-2.751535313041949,-0.5239132585213584,-2.715167668871074,-3.6050251436770733,-2.8086937268818972,-4.032469158504013,-2.0043209112117277,-3.6959969218828,-4.342624086807853,-0.4346119314010396,-1.4885644476886353,-1.6258717654853312,-0.5899658923607631,-3.7628563932741756,0.0,0.0,-0.2587451335371632,30.788114279204198,25.88911692237657,1652.1409709437514,639.5270907299251,-0.7090392697396953,-0.30095326458314026,-0.8177423645561562,-4.810350179829617,-0.6323051462886778,-2.367318168924089,0.08502481037865248,0.0,8.273715574867131,24.262070459999823,-1.2532237532465953,-0.8498316272817723,-4.083198335847962,-2.9517233548782102
969,-2.7491302268456748,-0.4776696773555587,-2.701877341995129,-3.544060101715562,-3.2127029657611197,-3.6982107815428207,-2.11409067709301,-3.6573887870225654,-4.79682307021093,-0.4753553540189438,-1.5126311746713528,-1.597246181167073,-0.5905907613558941,-3.762856393274176,0.0,0.0,-0.2578587918091927,30.29387461486852,25.285407473995004,1200.0958856623647,563.530733040956,-0.6684600398066024,-0.2764746200239381,-0.6508239485457906,-4.835534310637909,-0.656973319993508,-2.2214710654711696,0.05298856418963209,0.0,8.242563609995871,24.418486527067728,-1.072922485281082,-0.7662587326009583,-3.4595416763995606,-4.416482887455539
